https://www.zaubacorp.com/director/VISHAKHA-NIRUBHAI-DESAI/05292671,05292671, VISHAKHA NIRUBHAI DESAI,Director,30 May 2012,1
https://www.zaubacorp.com/director/THOTHALA-NARAYANASAMY-MANOHARAN/01186248,01186248, THOTHALA NARAYANASAMY MANOHARAN,Director,11 November 2016,1
https://www.zaubacorp.com/director/ANUPAM-PRADIP-PURI/00209113,00209113, ANUPAM PRADIP PURI,Director,30 January 2001,1
https://www.zaubacorp.com/director/PAWAN-KUMAR-GOENKA/00254502,00254502, PAWAN KUMAR GOENKA,Managing Director,23 September 2013,1
https://www.zaubacorp.com/director/RAVINDRA-KRISHNA-KULKARNI/00059367,00059367, RAVINDRA KRISHNA KULKARNI,Director,21 August 1997,1
https://www.zaubacorp.com/director/NADIR-BURJOR-GODREJ/00066195,00066195, NADIR BURJOR GODREJ,Director,28 August 1992,1
https://www.zaubacorp.com/director/ANAND-GOPAL-MAHINDRA/00004695,00004695, ANAND GOPAL MAHINDRA,Wholetime Director,01 August 2010,1
https://www.zaubacorp.com/director/VIJAY-KUMAR-SHARMA/02449088,02449088, VIJAY KUMAR SHARMA,Additional Director,14 November 2018,1
https://www.zaubacorp.com/director/VIKRAM-SINGH-MEHTA/00041197,00041197, VIKRAM SINGH MEHTA,Director,30 May 2012,1
https://www.zaubacorp.com/director/MURUGAPPAN-MURUGAPPAN-MUTHIAH/00170478,00170478, MURUGAPPAN MURUGAPPAN MUTHIAH,Director,28 August 1992,1
https://www.zaubacorp.com/director/THOTHALA-NARAYANASAMY-MANOHARAN/01186248,01186248, THOTHALA NARAYANASAMY MANOHARAN,Director,18 July 2012,1
https://www.zaubacorp.com/director/ULHAS-NARAYAN-YARGOP/00054530,00054530, ULHAS NARAYAN YARGOP,Nominee Director,27 May 2009,1
https://www.zaubacorp.com/director/RAVINDRA-KRISHNA-KULKARNI/00059367,00059367, RAVINDRA KRISHNA KULKARNI,Director,18 July 2012,1
